,speed,acceleration,stp,BinNo
582,42.0,0.0,4.371508812119435,23
583,42.93,0.93,12.256766894057716,27
584,43.0,0.07,5.1264810461225085,23
585,43.0,0.0,4.544087688685382,23
586,43.0,0.0,4.544087688685382,23
587,43.56,0.56,9.362660689648768,25
588,44.71,1.15,14.798843497891609,27
589,45.0,0.29,7.428857233655798,24
590,44.97,-0.03,4.637286694956329,23
591,44.18,-0.79,0.0,22
592,44.66,0.48,8.989022100765915,24
593,44.0,-0.66,0.0,22
594,44.0,0.0,4.721501529963346,23
595,44.81,0.81,11.891621419889065,25
596,45.0,0.19,6.558169489979011,24
597,45.0,0.0,4.903862776993142,23
598,45.0,0.0,4.903862776993142,23
599,45.44,0.44,8.854183029608908,24
600,46.0,0.56,10.075487487950923,25
601,46.0,0.0,5.091283870814583,23
602,46.92,0.92,13.620377997675973,27
603,47.0,0.08,6.0113852338506994,24
604,47.0,0.0,5.2838772524674855,23
605,47.0,0.0,5.2838772524674855,23
606,47.0,0.0,5.2838772524674855,23
607,47.0,0.0,5.2838772524674855,23
608,47.0,0.0,5.2838772524674855,23
609,47.04,0.04,5.655753730242589,23
610,49.0,1.96,24.26744195514184,29
611,49.33,0.33,8.903056994977668,24
612,49.51,0.18,7.515125448137352,24
613,49.0,-0.51,0.8498113735419568,22
614,49.0,0.0,5.685030643426929,23
615,49.0,0.0,5.685030643426929,23
616,49.0,0.0,5.685030643426929,23
617,48.72,-0.28,2.9881021599541127,22
618,48.87,0.15,7.07664601797085,24
619,50.0,1.13,16.82578387208818,37
620,50.0,0.0,5.8938155348131,33
621,50.0,0.0,5.8938155348131,33
622,50.0,0.0,5.8938155348131,33
623,49.78,-0.22,3.72842132246218,23
624,49.0,-0.78,0.0,22
625,49.0,0.0,5.685030643426929,23
626,49.69,0.69,12.462382201960615,27
627,50.0,0.31,8.89285109636651,35
628,50.0,0.0,5.8938155348131,33
629,50.0,0.0,5.8938155348131,33
630,49.68,-0.32,2.7504324122290535,22
631,49.0,-0.68,0.0,22
632,49.0,0.0,5.685030643426929,23
633,48.2,-0.8,0.0,22
634,48.0,-0.2,3.624288176481258,23
635,48.0,0.0,5.481755362991664,23
636,48.27,0.27,8.05778894986711,24
637,49.0,0.73,12.606030774830945,27
638,49.58,0.58,11.369413159675165,25
639,50.0,0.42,9.957025005304759,35
640,50.0,0.0,5.8938155348131,33
641,50.0,0.0,5.8938155348131,33
642,50.0,0.0,5.8938155348131,33
643,50.0,0.0,5.8938155348131,33
644,50.0,0.0,5.8938155348131,33
645,50.0,0.0,5.8938155348131,33
646,50.0,0.0,5.8938155348131,33
647,50.0,0.0,5.8938155348131,33
648,50.0,0.0,5.8938155348131,33
649,50.0,0.0,5.8938155348131,33
650,50.47,0.47,10.583545686955894,35
651,51.0,0.53,11.338153525208494,35
652,51.0,0.0,6.108222478189986,35
